iv      0.00000000   0.00000000   0.64520500   0.13635264  -0.17759949   0.97461089
iv      0.03370700   0.00000000   0.63806100   0.30785814  -0.15827753   0.93817461
iv      0.01710000   0.02956600   0.64695800   0.20162825  -0.09571668   0.97477401
iv     -0.01721600   0.02976900   0.65133800   0.11847862  -0.10209615   0.98769388
iv     -0.03426000   0.00000000   0.64868000   0.13701006  -0.17899422   0.97426347
iv     -0.01689300  -0.02921600   0.63989400   0.13499819  -0.22313376   0.96539464
iv      0.01679600  -0.02905600   0.63697900   0.21204831  -0.20856990   0.95474296
iv      0.06616900   0.00000000   0.62387500   0.39192494  -0.18459193   0.90128834
iv      0.05952000   0.03118400   0.63383400   0.35387875  -0.11002901   0.92879677
iv      0.03867300   0.05592000   0.64144100   0.30938791  -0.02884085   0.95049846
iv      0.00831900   0.06839800   0.65113600   0.20309254   0.00420845   0.97915050
iv     -0.02460600   0.06477900   0.65498700   0.05101425   0.01604300   0.99856906
iv     -0.05193900   0.04594800   0.65542000   0.03391766   0.02613949   0.99908274
iv     -0.06737600   0.01659200   0.65713600   0.08619731  -0.09572078   0.99166908
iv     -0.06663500  -0.01640900   0.64984300   0.06593813  -0.20668150   0.97618386
iv     -0.05085700  -0.04502300   0.64405800   0.10696834  -0.21984580   0.96965231
iv     -0.02370200  -0.06243800   0.63281800   0.16875343  -0.20156362   0.96482868
iv      0.00799600  -0.06580100   0.62867700   0.14736781  -0.22701033   0.96267806
iv      0.03751700  -0.05431100   0.62592100   0.30357986  -0.16777947   0.93791754
iv      0.05823400  -0.03052200   0.62139600   0.36822185  -0.17410033   0.91329171
iv      0.09745400   0.00000000   0.61012600   0.43731600  -0.16685456   0.88369354
iv      0.09354800   0.03206000   0.61899500   0.43968281  -0.12211059   0.88981348
iv      0.07914500   0.06148500   0.62715500   0.39659147   0.00303204   0.91799020
iv      0.05560500   0.08494800   0.63572000   0.36466118   0.08043801   0.92765939
iv      0.02529300   0.09971900   0.64516400   0.26116452   0.11278295   0.95868300
iv     -0.00858200   0.10341500   0.65137700   0.07467222   0.16225192   0.98391990
iv     -0.04173600   0.09499400   0.65070100  -0.05385675   0.17316251   0.98341964
iv     -0.07050400   0.07648400   0.65275100  -0.05970241   0.14892560   0.98704447
iv     -0.09169600   0.04957900   0.65526300  -0.05163959   0.13294909   0.98977669
iv     -0.10311300   0.01720400   0.65944500  -0.07326904  -0.03734091   0.99661292
iv     -0.10195300  -0.01700800   0.65162400  -0.03061701  -0.26168695   0.96466706
iv     -0.08969900  -0.04852200   0.64248700  -0.06418109  -0.31448443   0.94709046
iv     -0.06828800  -0.07415200   0.63533500  -0.09620286  -0.32004501   0.94250528
iv     -0.04014700  -0.09151800   0.63070500   0.08063327  -0.25845191   0.96265305
iv     -0.00817200  -0.09862900   0.62495900   0.15008951  -0.21411398   0.96520896
iv      0.02404100  -0.09492900   0.61813400   0.21540005  -0.23813350   0.94704554
iv      0.05340200  -0.08174500   0.61675700   0.29833318  -0.19985158   0.93330416
iv      0.07633200  -0.05937100   0.60857500   0.40537677  -0.13612154   0.90395830
iv      0.09155100  -0.03139200   0.60742700   0.41452379  -0.16704365   0.89457612
iv      0.12744200   0.00000000   0.59523000   0.41209350  -0.14056381   0.90023373
iv      0.12484900   0.03200100   0.60105800   0.46085125  -0.09954859   0.88187653
iv      0.11457300   0.06286900   0.60925900   0.46093114  -0.02856177   0.88697616
iv      0.09657500   0.09051100   0.61701500   0.39797554   0.05166896   0.91593984
iv      0.07184200   0.11298100   0.62444800   0.35890435   0.08565168   0.92943610
iv      0.04203200   0.12915900   0.63485300   0.28313169   0.14763256   0.94765029
iv      0.00860700   0.13660900   0.64024600   0.13231504   0.23436203   0.96310289
iv     -0.02579200   0.13502200   0.64311000  -0.01305700   0.26252156   0.96483778
iv     -0.05871000   0.12460000   0.64437300  -0.07062220   0.24054922   0.96806435
iv     -0.08791800   0.10614100   0.64477900  -0.11841129   0.19437365   0.97375441
iv     -0.11175400   0.08111700   0.64677000  -0.16494231   0.20005895   0.96580042
iv     -0.12876400   0.05096100   0.65021800  -0.21351100   0.18460087   0.95934122
iv     -0.13771100   0.01740100   0.65389300  -0.26508335   0.01573711   0.96409707
iv     -0.13642100  -0.01723700   0.64748300  -0.15002856  -0.25454895   0.95535138
iv     -0.12607600  -0.04990900   0.63740100  -0.10937381  -0.36000727   0.92651613
iv     -0.10802600  -0.07844100   0.62642100  -0.11869750  -0.35317693   0.92799621
iv     -0.08444300  -0.10204200   0.62224300  -0.12843675  -0.28293933   0.95049952
iv     -0.05618200  -0.11942500   0.62162400  -0.06913287  -0.30594623   0.94953544
iv     -0.02454100  -0.12872100   0.61797300   0.07304126  -0.30182790   0.95056031
iv      0.00816800  -0.12992900   0.61469900   0.17793025  -0.28185474   0.94281426
iv      0.03977700  -0.12251200   0.60793500   0.22949048  -0.24496617   0.94197967
iv      0.06853700  -0.10807500   0.60400400   0.30399137  -0.19488013   0.93252935
iv      0.09249100  -0.08687400   0.59756600   0.39771326  -0.12614912   0.90879622
iv      0.11058600  -0.06076500   0.59219700   0.40898390  -0.12134699   0.90443743
iv      0.12239800  -0.03139300   0.59125700   0.39991812  -0.15609608   0.90316084
iv      0.15688400   0.00000000   0.58307900   0.41501243  -0.11565460   0.90243487
iv      0.15504100   0.03182200   0.58690600   0.42376241  -0.05723721   0.90396312
iv      0.14689100   0.06293000   0.59142300   0.45442733  -0.05382362   0.88915624
iv      0.13323700   0.09258800   0.60088600   0.43168073  -0.02432995   0.90169829
iv      0.11341000   0.11913000   0.60965900   0.36278593   0.01937159   0.93167114
iv      0.08804200   0.14105000   0.61669800   0.30932056   0.01337139   0.95086382
iv      0.05859900   0.15807400   0.62666700   0.24665230   0.10516782   0.96338070
iv      0.02571900   0.16774600   0.63118400   0.10557292   0.25839523   0.96025323
iv     -0.00862400   0.16990400   0.63258700   0.00252363   0.35354114   0.93541557
